Name,Yelp Alias,SIPS_URL,SIPS_COCKTAILS,SIPS_WINE,SIPS_BEER,SIPS_HALFPRICEDAPPS,RW_URL,RW_DETAILS,RW_DEALS,RW_MENU,RESERVATION_LINK,Address,Latitude,Longitude,Website,Categories,Price,Review_Count,RW_PHOTO,SIPS_PARTICIPANT,RW_PARTICIPANT,Neighborhoods,Monday,Tuesday,Wednesday,Thursday,Friday,Saturday,Sunday,Smoking,Yelp_Rating,RW_Score,Popularity,Parking,Best_Nights,Payment,Minority_Owned,Good_For,Offers,Options,Vibes,Accessibility,Dogs_Allowed,Packaging,Reservation_Type,Seating,Meal_Types,Music,Alcohol_Options,Amenities,Yelp Rating,Review Count,Phone
Unit Su Vege,unit-su-vege-philadelphia-3,,,,,,,,,,,"2000 Hamilton St, Ste 106, Philadelphia, PA 19130",39.96204,-75.17222,,"['Vegetarian', 'Chinese']",$$,188.0,,N,N,"['Art Museum District', 'Fairmount', 'Logan Square', 'Spring Garden']",11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:30 PM,11:00 AM - 10:30 PM,12:00 PM - 10:00 PM,,4.5,52.0,32.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Quiet","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,Takes Reservations,,"Dessert, Dinner",,Alcohol,"TV, Wi-Fi",,,
Uptown Beer Garden,uptown-beer-garden-philadelphia-3,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#uptown-beer-garden,"Hornito's Uptown Vibes (Hornito's, Triple Sec, Blood Orange, Lime Juice)","House Red 
House White 
House White Rose","2SP Up & Out
Troegs Dreamweavers
2SP Poni Boi","$5 Snack: 
Single Smash Burger
soft pretzel
1/4 LB hot dog
Boardwalk Fries
Stay here after SIPS and get 15% off dinner!",,,,,,"1735 John F Kennedy Blvd, Philadelphia, PA 19103",39.95415773,-75.1687921,http://www.bruphilly.com,['Beer Gardens'],,32.0,https://centercityphila.org/uploads/attachments/cj0y4uf6z0cq9yvqd5m3xt7do-1608-ccd-sips-2792.1400.8.4992.4992.full.jpg,Y,N,"['Penn Center', 'Logan Square', 'Art Museum District']",4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,11:00 AM - 2:00 AM,,2.8,18.0,56.0,,,,,Dinner,,,,,,,,,,,,,,,
Urban Farmer Philadelphia,urban-farmer-philadelphia-philadelphia-2,,,,,,,,,,,"1850 Benjamin Franklin Pkwy, Philadelphia, PA 19103",39.957207,-75.1699827,https://www.urbanfarmersteakhouse.com,"['American (Traditional)', 'Steakhouses']",$$$,736.0,,N,N,"['Logan Square', 'Penn Center', 'Art Museum District']",7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,7:00 AM - 2:00 PM,,4.0,62.0,54.0,Bike Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Keto Options, Vegetarian Options","Trendy, Classy, Casual, Moderate Noise",,,Provides reusable tableware,Takes Reservations,"Outdoor Seating, Private Dining","Lunch, Dinner",,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Urban Village Brewing Co,urban-village-brewing-co-philadelphia,,,,,,,,,,http://urbanvillagebrewing.com/reservations,"1001 N 2nd St, Philadelphia, PA 19123",39.9667,-75.13997,http://urbanvillagebrewing.com,"['Breweries', 'Pizza', 'American (New)']",$$,275.0,,N,N,['Northern Liberties'],12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 12:00 AM,12:00 PM - 12:00 AM,12:00 PM - 11:00 PM,,4.2,47.0,52.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",True,Provides reusable tableware,"Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating","Lunch, Dinner",,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Varga Bar,varga-bar-philadelphia,,,,,,,,,,,"941 Spruce St, Philadelphia, PA 19107",39.94620439,-75.15779929,http://vargabar.com/,"['Gastropubs', 'Bars', 'American (New)']",$$,612.0,,N,N,['Washington Square West'],4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,12:00 PM - 12:00 AM,,3.7,38.0,39.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise",Gender-neutral restrooms,True,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Drive-Thru",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Veda - Modern Indian Bistro,veda-modern-indian-bistro-philadelphia-3,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#veda-modern-indian-bistr,"Lemon Cello Margarita
Spicy Hornitos Margarita
Old Fashion Gabbar
Mumbai Mule/","House Red Wine
House White Wine","Kingfisher Lager
Rupee Beer","Goat Cheese Naan - $3
Lassoni Gobi - $4
Crispy Spinach Chaat - $4
Calcutta Pork Ribs - $5
  Stay here after SIPS and get 15% off dinner!",,,,,https://www.opentable.com/restref/client/?restref=271087&lang=en-US&ot_source=Restaurant%20website&corrid=c5db680c-1a06-4fa9-a11a-7d39726f5f17,"1920 Chestnut St., Philadelphia, PA 19103",39.95175635,-75.17289476,http://vedaphilly.com,"['Indian', 'Breakfast & Brunch']",$$,542.0,https://centercityphila.org/uploads/attachments/ckxglxq5b4luisrqdwjk1e6le-veda.0.52.710.710.full.jpg,Y,N,"['Rittenhouse Square', 'Penn Center']",11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,11:30 AM - 2:30 PM,,4.1,46.0,69.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering, Offers Military Discount","Vegan Options, Vegetarian Options","Trendy, Classy, Romantic, Upscale, Moderate Noise","Open to All, Wheelchair Accessible",,,Takes Reservations,"Outdoor Seating, Covered Outdoor Seating",Dinner,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Vedge,vedge-philadelphia,,,,,,,,,,https://resy.com/cities/pha/vedge,"1221 Locust St, Philadelphia, PA 19107",39.94793105,-75.16142798,http://www.vedgerestaurant.com,"['Vegan', 'Vegetarian']",$$$,1584.0,,N,N,['Washington Square West'],Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,Closed,,4.5,74.0,54.0,"Street Parking, Bike Parking, Garage Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Pescatarian Options, Vegetarian Options","Classy, Moderate Noise",Gender-neutral restrooms,,Provides reusable tableware,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Veganish,veganish-philadelphia,,,,,,,,,,,"1214 N 52nd St, Philadelphia, PA 19131",39.97188045,-75.22613617,http://www.veganishphilly.com,"['Seafood', 'Sandwiches', 'Burgers']",,108.0,,N,N,,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,,4.0,42.0,44.0,,,,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Casual, Moderate Noise",,,,,,,,Alcohol,,,,
Vernick Coffee Bar,vernick-coffee-bar-philadelphia,,,,,,,,,,http://www.opentable.com/restaurant/profile/1021633/reserve?restref=1021633&ot_source=bentobox,"1800 Arch St, Fl 2, Comcast Technology Center, Philadelphia, PA 19103",39.955061,-75.170196,https://vernickcoffeebar.com,"['Coffee & Tea', 'Breakfast & Brunch', 'American (New)']",$$,66.0,,N,N,"['Penn Center', 'Logan Square']",7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,7:30 AM - 4:00 PM,Closed,Closed,,4.3,48.0,41.0,Garage Parking,,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegan Options,Moderate Noise,,,Provides reusable tableware,Takes Reservations,Outdoor Seating,,,,"TV, Wi-Fi",,,
Vernick Fish,vernick-fish-philadelphia-3,,,,,,,,,,https://www.opentable.com/restref/client/?restref=1021729&lang=en-US&corrid=70700cf1-0266-4f1e-bced-d319a8767389&ot_source=bentobox,"1876 Arch St, Philadelphia, PA 19103",39.955307,-75.171122,https://vernickfish.com,"['Seafood', 'Desserts', 'Tapas/Small Plates']",$$$,187.0,,N,N,"['Penn Center', 'Logan Square']",Closed,Closed,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,5:00 PM - 10:00 PM,Closed,,4.5,70.0,54.0,"Street Parking, Bike Parking, Valet Parking, Validated Parking, Garage Parking",,"Credit Cards, Android Pay, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout",Vegan Options,"Classy, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Vernick Food & Drink,vernick-food-and-drink-philadelphia,,,,,,,,,,,"2031 Walnut St, Philadelphia, PA 19103",39.950901,-75.17485,http://www.vernickphilly.com,"['American (New)', 'Beer, Wine & Spirits']",$$$$,1088.0,,N,N,"['Rittenhouse Square', 'Penn Center']",Closed,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,5:00 PM - 9:30 PM,Closed,,4.5,90.0,55.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,Offers Takeout,"Vegan Options, Vegetarian Options","Classy, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi",,,
Vetri Cucina,vetri-cucina-philadelphia,,,,,,,,,,,"1312 Spruce St, Philadelphia, PA 19107",39.94659,-75.16319,https://vetricucina.com,['Italian'],$$$$,542.0,,N,N,"['Avenue of the Arts South', 'Washington Square West']",6:00 PM - 9:30 PM,6:00 PM - 8:00 PM,6:00 PM - 9:30 PM,6:00 PM - 9:30 PM,11:30 AM - 9:30 PM,6:00 PM - 9:00 PM,5:00 PM - 9:00 PM,,4.5,88.0,54.0,"Street Parking, Bike Parking, Private Lot Parking",,Credit Cards,,Dinner,Offers Takeout,"Pescatarian Options, Vegetarian Options","Classy, Intimate, Romantic, Upscale, Dressy, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi",,,
Via Locusta,via-locusta-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#via-locust,"Rosemarina (hornitos tequila, rosemary, grapefruit)
Hugo Spritz (elderflower, mint, lemon)","White
Rosato
Red",New Trail Crisp Lager,"Focaccia
Fried Zucchini
Chicken Milanese Half Sandwich
Cacio E Pepe
Stuffed Peppers
Chicken Spiedini
Agnolotti
Piadina
Panzerotti
Mushroom Toast",,,,,https://resy.com/cities/pha/via-locusta,"1723 Locust St,  Philadelphia, PA 19103",39.94891916,-75.16961782,https://www.vialocusta.com,"['Italian', 'Tapas/Small Plates', 'Cocktail Bars']",$$$,282.0,https://centercityphila.org/uploads/attachments/cl4rbyobb02avtvqdlrra2ag3-via-locusta.0.2648.5304.5304.full.jpg,Y,N,['Rittenhouse Square'],4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 10:00 PM,4:00 PM - 11:00 PM,10:00 AM - 11:00 PM,10:00 AM - 10:00 PM,True,4.3,66.0,70.0,Street Parking,"Saturday, Sunday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,"Trendy, Classy, Upscale, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining",Dessert,,"Happy Hour, Full Bar",TV,,,
Vic Sushi Bar,vic-sushi-bar-philadelphia,,,,,,,,,,,"2035 Sansom St, Philadelphia, PA 19103",39.9515123,-75.1743411,http://www.vic-sushi.com,"['Sushi Bars', 'Japanese']",$$,920.0,,N,N,"['Rittenhouse Square', 'Penn Center']",11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 9:30 PM,11:30 AM - 10:00 PM,12:00 PM - 10:00 PM,Closed,,4.1,47.0,40.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,Offers Delivery,"Vegan Options, Limited Vegetarian Options","Classy, Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,,Dinner,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Vientiane Bistro,vientiane-bistro-philadelphia,,,,,,,,,,,"2537 Kensington Ave, Philadelphia, PA 19125",39.98810008,-75.12821484,http://www.vientianebistro.com,"['Laotian', 'Thai']",,81.0,,N,N,['Kensington'],12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,Closed,,4.5,52.0,24.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Romantic, Casual, Moderate Noise",,,,,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Vientiane Café,vientiane-café-philadelphia-3,,,,,,,,,,http://www.vientiane-cafe.com#reservations,"4728 Baltimore Ave, Philadelphia, PA 19143",39.94832,-75.2179,http://www.vientiane-cafe.com,"['Thai', 'Laotian']",$$,325.0,,N,N,['Cedar Park'],Closed,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,Closed,,4.0,43.0,36.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Casual, Moderate Noise",Gender-neutral restrooms,,,Takes Reservations,Outdoor Seating,,,Alcohol,"TV, Wi-Fi",,,
Vietnam Cafe,vietnam-cafe-philadelphia,,,,,,,,,,,"816 S 47th St, Philadelphia, PA 19143",39.9481782,-75.2168865,http://www.eatatvietnam.com/vietnam_cafe.php,['Vietnamese'],$$,397.0,,N,N,['Cedar Park'],11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,,4.1,45.0,44.0,"Street Parking, Bike Parking",,"Credit Cards, Android Pay",,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Pescatarian Options, Vegetarian Options","Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Vietnam Restaurant,vietnam-restaurant-philadelphia-2,,,,,,,,,,,"221 N 11th St, Philadelphia, PA 19107",39.95623,-75.15713,http://www.eatatvietnam.com/vr_contact.php,['Vietnamese'],$$,438.0,,N,N,['Chinatown'],11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,11:30 AM - 8:00 PM,,3.8,39.0,48.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegetarian Options,"Classy, Casual, Quiet",,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi",,,
Villa Di Roma,villa-di-roma-philadelphia,,,,,,,,,,http://www.villadiroma.com/reservations/,"936 S 9th St, Philadelphia, PA 19147",39.93792661,-75.15812047,http://villadiroma.com/,['Italian'],$$,477.0,,N,N,"['Italian Market', 'Bella Vista']",Closed,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 10:00 PM,12:00 PM - 10:00 PM,12:00 PM - 9:00 PM,,3.9,41.0,43.0,"Street Parking, Bike Parking",,,,Dinner,"Offers Delivery, Offers Takeout",Limited Vegetarian Options,"Casual, Moderate Noise",,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Wi-Fi",,,
Village Whiskey,village-whiskey-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#village-whiskey,"NAKED BIKE RIDE
VW Jalapeño-Infused Hornitos,
Watermelon, Lime
_____
IT’S ALWAYS SUNNY...
VW Blueberry-Infused Bourbon, Ginger, Lime
_____
THE GARCES ROSE GOLD
VW Rosemary-Infused Vodka,
Passionfruit, Angostura Bitters","Pinot Grigio, Alverdi
Pinot Noir, Proverb",Sly Fox Pilsner; Narragansett 16oz Lager,"Fried Pickles
Hand breaded, buffalo aioli 4
_____
House made Tater Tots
Smoked onion crÈme frAÎche 4.5
_____
Deviled eggs
Mustard, Tarragon, Capers 3
_____
Whipped Ricotta
Calabrian Chile Crunch,
Seasonal Crudite,
Garlic Sourdough 7",,,,,https://www.villagewhiskey.com/reservations/,"118 S 20th St, Philadelphia, PA 19103",39.9514387,-75.17384807,http://www.villagewhiskey.com,"['American (New)', 'Burgers', 'Whiskey Bars']",$$,1637.0,https://centercityphila.org/uploads/attachments/cjpynepcg1u6zpbqdfmh45zsz-villagewhiskey.3.0.594.594.full.jpg,Y,N,"['Rittenhouse Square', 'Penn Center']",Closed,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 9:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 9:00 PM,True,3.9,45.0,54.0,"Street Parking, Bike Parking","Tuesday, Wednesday, Friday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Vegetarian Options","Trendy, Classy, Casual, Moderate Noise","Wheelchair Accessible, Gender-neutral restrooms",,Provides reusable tableware,"Walk-ins Welcome, Takes Reservations","Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Drive-Thru",,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Villekebabs and Platters,villekebabs-and-platters-philadelphia-2,,,,,,,,,,,"1722 Sansom St, Philadelphia, PA 19103",39.95057399,-75.1697461,https://halalfoodphiladelphia.com,"['Afghan', 'Halal', 'Mediterranean']",,63.0,,N,N,"['Rittenhouse Square', 'Penn Center']",11:00 AM - 9:00 PM,3:00 PM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 10:00 PM,11:00 AM - 10:00 PM,11:00 AM - 9:00 PM,,4.9,60.0,43.0,"Street Parking, Bike Parking",,Credit Cards,"Women-owned, Asian-owned",Dinner,"Offers Delivery, Offers Takeout, Offers Catering",,Classy,Wheelchair Accessible,,"Plastic-free packaging, Compostable containers available, Bring your own container allowed",Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru",,,"Alcohol, Happy Hour","TV, Wi-Fi",,,
Vineyards Cafe,vineyards-cafe-philadelphia,,,,,,,,,,,"847 N 16th St, Philadelphia, PA 19130",39.969939,-75.163026,http://vineyardscafe.com,"['Creperies', 'Cafes', 'Breakfast & Brunch']",$,219.0,,N,N,"['Francisville', 'Fairmount']",7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,7:00 AM - 3:00 PM,8:00 AM - 3:00 PM,8:00 AM - 3:00 PM,,4.6,37.0,30.0,"Street Parking, Bike Parking",,"Credit Cards, Android Pay, Apple Pay",,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Classy, Hipster, Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,Takes Reservations,Outdoor Seating,"Lunch, Brunch",,Alcohol,"TV, Wi-Fi",,,
Vintage Wine Bar & Bistro,vintage-wine-bar-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#vintage-wine-bar-bistro,,,,,,,,,,"129 S 13th St, Philadelphia, PA 19107",39.94955443,-75.16190271,http://www.vintage-philadelphia.com,"['Wine Bars', 'French']",$$,432.0,https://centercityphila.org/uploads/attachments/cj2ly1xdp00sf9pqdmi3z04gh-vintage-bar.200.0.450.450.full.jpg,Y,N,,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 12:00 AM,4:00 PM - 2:00 AM,4:00 PM - 2:00 AM,4:00 PM - 12:00 AM,True,3.9,41.0,62.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout",Vegetarian Options,"Classy, Intimate, Casual, Moderate Noise",Wheelchair Accessible,,,Takes Reservations,"Outdoor Seating, Covered Outdoor Seating",,,"Happy Hour, Full Bar","TV, Wi-Fi",,,
Vista Peru,vista-peru-philadelphia,,,,,,,,,,https://resy.com/cities/pha/vista-peru,"20 S 2nd St, Philadelphia, PA 19106",39.94945,-75.14416,http://vistaperuphilly.com,"['Peruvian', 'Cocktail Bars']",$$,235.0,,N,N,['Old City'],2:00 PM - 11:00 PM,Closed,Closed,2:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,12:00 PM - 11:00 PM,True,3.9,41.0,51.0,"Street Parking, Bike Parking","Wednesday, Friday",Credit Cards,Latinx-owned,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options","Classy, Intimate, Romantic, Upscale, Casual, Moderate Noise","Open to All, Wheelchair Accessible, Gender-neutral restrooms",,,"Walk-ins Welcome, Takes Reservations",Outdoor Seating,,,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Volver,volvér-philadelphia,,,,,,https://centercityphila.org/explore-center-city/ccd-restaurant-week/list-view#volver,"Participating in lunch, dinner and takeout. Offering indoor dining. Closed on Mondays and Tuesdays BYOB with corkage fee ",$45 DINNER,https://centercityphila.org/uploads/attachments/clr6hdkvi1vi0qoqdr4qt03ox-volver-1.pdf,https://www.opentable.com/restaurant/profile/269473/reserve?ref=939,"300 S Broad St, Philadelphia, PA 19102",39.9467456,-75.16573933,http://www.volverrestaurant.com,,,,https://centercityphila.org/uploads/attachments/civfo60ud00u5kgqdecdbnaz9-volver-sl-1910.129.3.1360.1360.full.jpg,N,Y,"['Avenue of the Arts South', 'Rittenhouse Square']",Closed,Closed,4:00 PM - 9:00 PM,5:00 PM - 9:00 PM,5:00 PM - 9:00 PM,4:00 PM - 9:00 PM,4:00 PM - 9:00 PM,,3.6,,,"Bike Parking, Garage Parking",Wednesday,Credit Cards,,"Kids, Good for Dinner","Offers Delivery, Offers Takeout",,"Classy, Upscale, Quiet",Wheelchair Accessible,,,Takes Reservations,Outdoor Seating,,,Full Bar,"TV, Pool Table, Wi-Fi",,,
Wagner Free Institute of Science,wagner-free-institute-of-science-philadelphia,,,,,,,,,,,"1700 W Montgomery Ave, Philadelphia, PA 19121",39.980651,-75.16287,http://www.wagnerfreeinstitute.org,"['Museums', 'Landmarks & Historical Buildings']",,23.0,,N,N,,Closed,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,9:30 AM - 4:30 PM,Closed,Closed,,4.9,59.0,30.0,,,,,Dinner,,,,,,,,,,,,,,,
Walnut Hill College,walnut-hill-college-philadelphia-3,,,,,,,,,,,"4207 Walnut St, Walnut Hill College, Philadelphia, PA 19104",39.95512,-75.20747,http://www.walnuthillcollege.edu/restaurants-shops/,"['French', 'Bakeries', 'Wine Bars']",$$,87.0,,N,N,"['Spruce Hill', 'University City']",7:30 AM - 6:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,7:30 AM - 10:00 PM,5:30 PM - 10:00 PM,Closed,,3.7,36.0,36.0,"Bike Parking, Validated Parking, Private Lot Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout","Vegan Options, Vegetarian Options, Gluten-Free Options","Classy, Intimate, Casual, Quiet","Open to All, Wheelchair Accessible",,,"Walk-ins Welcome, Takes Reservations",Outdoor Seating,,,Full Bar,"TV, Wi-Fi",,,
Weckerly's Ice Cream,weckerlys-ice-cream-philadelphia-3,,,,,,,,,,,"9 West Girard Ave, Philadelphia, PA 19123",39.9689478,-75.1348105,http://weckerlys.com/,['Ice Cream & Frozen Yogurt'],$$,370.0,,N,N,['Fishtown'],Closed,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 9:00 PM,3:00 PM - 10:00 PM,1:00 PM - 10:00 PM,1:00 PM - 9:00 PM,,4.5,53.0,51.0,"Street Parking, Bike Parking",,Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering",Vegan Options,Moderate Noise,,,Plastic-free packaging,,Drive-Thru,,,,Wi-Fi,,,
White Dog Cafe,white-dog-cafe-philadelphia-2,,,,,,,,,,http://www.opentable.com/white-dog-cafe-university-city-reservations-philadelphia?restref=4896,"3420 Sansom St, Philadelphia, PA 19104",39.95352,-75.19293,https://whitedog.com/universitycity/,"['Bars', 'American (New)']",$$,1529.0,,N,N,['University City'],11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:00 PM,11:00 AM - 9:30 PM,9:00 AM - 9:30 PM,9:00 AM - 8:00 PM,,3.8,43.0,52.0,"Street Parking, Bike Parking","Thursday, Friday, Saturday",Credit Cards,,Dinner,"Offers Delivery, Offers Takeout, Offers Catering","Vegan Options, Limited Vegetarian Options",Moderate Noise,"Open to All, Gender-neutral restrooms",,"Plastic-free packaging, Provides reusable tableware, Compostable containers available",Takes Reservations,"Outdoor Seating, Heated Outdoor Seating, Covered Outdoor Seating, Private Dining, Drive-Thru","Lunch, Dinner",,"Happy Hour, Full Bar","TV, Pool Table, Wi-Fi",,,
Wicked Wolf,wicked-wolf-philadelphia-philadelphia,https://centercityphila.org/explore-center-city/ccd-sips/sips-list-view#wicked-wolf,"Hornitos Paloma- Hornitos, grapefruit soda, fresh lime juice",All wine,All beer & seltzers,All starters on menu,,,,,,"1214-1216 Chestnut St., Philadelphia, PA 19107",39.9502276,-75.1587292,http://wicketwolfphiladelphia.com,['Sports Bars'],,14.0,https://centercityphila.org/uploads/attachments/cliavbqj5700twnqddr8rk9xb-wickedwolf-day1-128.1245.0.5351.5351.full.jpg,Y,N,,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 11:00 PM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 2:00 AM,11:00 AM - 11:00 PM,,3.6,34.0,58.0,,,,,Dinner,,,,,,,,,,,,TV,,,
